Date,Year,Month,Week,District,Grade,Highest_Price,Average_Price,Source_URL
2016-02-02,2016,2,5,Matara,Alba,2150.0,2112.0,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Matara,C-4,1600.0,1550.0,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Matara,C-5,1700.0,1600.0,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Matara,H-2,1460.0,1433.0,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Monaragala,Alba,,,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Monaragala,C-4,,,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Monaragala,C-5,,,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Monaragala,H-2,,,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,National,Alba,2150.0,2042.4,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,National,C-4,1600.0,1451.88,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,National,C-5,1700.0,1579.29,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,National,H-2,1480.0,1328.0,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Ratnapura,Alba,2100.0,2000.0,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Ratnapura,C-4,1350.0,1300.0,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Ratnapura,C-5,1500.0,1480.0,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Ratnapura,H-2,1200.0,1180.0,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-09,2016,2,6,Average Price,Alba,2200.0,2063.2,https://exagri.info/mkt/2016/6.09.february-2016.html
2016-02-09,2016,2,6,Average Price,C-4,1600.0,1474.63,https://exagri.info/mkt/2016/6.09.february-2016.html
2016-02-09,2016,2,6,Average Price,C-5,1700.0,1589.57,https://exagri.info/mkt/2016/6.09.february-2016.html
2016-02-09,2016,2,6,Average Price,H-2,1470.0,1330.83,https://exagri.info/mkt/2016/6.09.february-2016.html
2016-02-09,2016,2,6,Badulla,Alba,,,https://exagri.info/mkt/2016/6.09.february-2016.html
2016-02-09,2016,2,6,Badulla,C-4,1450.0,1450.0,https://exagri.info/mkt/2016/6.09.february-2016.html
2016-02-09,2016,2,6,Badulla,C-5,1500.0,1500.0,https://exagri.info/mkt/2016/6.09.february-2016.html
2016-02-09,2016,2,6,Badulla,H-2,,,https://exagri.info/mkt/2016/6.09.february-2016.html
2016-02-09,2016,2,6,Colombo,Alba,,,https://exagri.info/mkt/2016/6.09.february-2016.html
2016-02-09,2016,2,6,Colombo,C-4,1600.0,1600.0,https://exagri.info/mkt/2016/6.09.february-2016.html
2016-02-09,2016,2,6,Colombo,C-5,1700.0,1700.0,https://exagri.info/mkt/2016/6.09.february-2016.html
2016-02-09,2016,2,6,Colombo,H-2,1350.0,1350.0,https://exagri.info/mkt/2016/6.09.february-2016.html
2016-02-09,2016,2,6,Galle,Alba,2200.0,2150.0,https://exagri.info/mkt/2016/6.09.february-2016.html
2016-02-09,2016,2,6,Galle,C-4,1580.0,1580.0,https://exagri.info/mkt/2016/6.09.february-2016.html
2016-02-09,2016,2,6,Galle,C-5,1660.0,1655.0,https://exagri.info/mkt/2016/6.09.february-2016.html
2016-02-09,2016,2,6,Galle,H-2,1470.0,1460.0,https://exagri.info/mkt/2016/6.09.february-2016.html
2016-02-09,2016,2,6,Gampaha,Alba,,,https://exagri.info/mkt/2016/6.09.february-2016.html
2016-02-09,2016,2,6,Gampaha,C-4,1300.0,1150.0,https://exagri.info/mkt/2016/6.09.february-2016.html
2016-02-09,2016,2,6,Gampaha,C-5,,,https://exagri.info/mkt/2016/6.09.february-2016.html
2016-02-09,2016,2,6,Gampaha,H-2,,,https://exagri.info/mkt/2016/6.09.february-2016.html
2016-02-09,2016,2,6,Hambantota,Alba,2100.0,2100.0,https://exagri.info/mkt/2016/6.09.february-2016.html
2016-02-09,2016,2,6,Hambantota,C-4,1560.0,1560.0,https://exagri.info/mkt/2016/6.09.february-2016.html
2016-02-09,2016,2,6,Hambantota,C-5,1600.0,1600.0,https://exagri.info/mkt/2016/6.09.february-2016.html
